orgao,ano,qtd_pedidos_lai,tempo_medio_resposta_dias,percentual_sem_resposta,percentual_acesso_concedido,percentual_acesso_negado,percentual_acesso_parcial,qtd_recursos_lai,taxa_recurso_lai
SEMOB - Secretaria de Estado de Transporte e Mobilidade do Distrito Federal,2023,515,11.659806071551428,37.28155339805825,50.679611650485434,3.300970873786408,8.155339805825243,24,0.04660194174757282
"SEPLAD - Secretaria de Estado de Planejamento, Orçamento e Administração",2023,719,7.81768728956229,44.92350486787204,66.62030598052851,6.258692628650904,4.867872044506258,85,0.11821974965229486
SES - Secretaria de Estado de Saúde do Distrito Federal,2023,1708,6.620996657550896,35.7728337236534,54.09836065573771,8.840749414519907,1.3466042154566744,100,0.0585480093676815
SETUR - Secretaria de Estado de Turismo do Distrito Federal,2023,63,10.153038194444445,36.507936507936506,74.60317460317461,3.1746031746031744,3.1746031746031744,3,0.047619047619047616
SLU - Serviço de Limpeza Urbana,2023,209,5.939530922431866,49.282296650717704,52.63157894736842,2.8708133971291865,1.4354066985645932,9,0.0430622009569378
SMDF - Secretaria de Estado da Mulher do Distrito Federal,2023,90,7.6967517921146955,31.11111111111111,60.0,3.3333333333333335,11.11111111111111,5,0.05555555555555555
SODF - Secretaria de Estado de Obras e Infraestrutura do Distrito Federal,2023,174,7.343088312368972,39.08045977011494,51.724137931034484,2.8735632183908044,0.5747126436781609,7,0.040229885057471264
SSP - Secretaria de Estado da Segurança Pública do Distrito Federal,2023,251,11.110975477430555,49.00398406374502,40.23904382470119,10.358565737051793,2.788844621513944,17,0.06772908366533864
TCB - Sociedade de Transportes Coletivos de Brasília,2023,53,7.501592140921409,22.641509433962266,52.83018867924528,0.0,5.660377358490567,0,0.0
TERRACAP - Companhia Imobiliária de Brasília,2023,383,5.763821138211382,46.47519582245431,55.87467362924282,9.660574412532636,6.266318537859007,35,0.09138381201044386
UnDF - Universidade do Distrito Federal Professor Jorge Amaury Maia Nunes,2023,119,15.09197965571205,40.33613445378151,97.47899159663865,0.0,0.8403361344537815,14,0.11764705882352941
VICEGOV - Vice Governadoria do DF,2023,79,8.155352303523037,48.10126582278481,97.46835443037975,0.0,1.2658227848101267,1,0.012658227848101266
"ADASA - Agência Reguladora de Águas, Energia e Saneamento",2024,293,6.358353931261771,19.453924914675767,30.716723549488055,1.3651877133105803,0.3412969283276451,8,0.027303754266211604
Administração Arapoanga - RA XXXIV,2024,135,2.747780910609858,1.4814814814814816,10.37037037037037,10.37037037037037,14.074074074074074,1,0.007407407407407408
Administração Arniqueira - RA XXXIII,2024,193,9.581472403776326,20.72538860103627,29.533678756476682,11.917098445595855,5.181347150259067,34,0.17616580310880828
Administração Brazlândia - RA IV,2024,80,8.930176767676768,3.75,28.749999999999996,6.25,20.0,2,0.025
Administração Candangolândia - RA XIX,2024,48,4.632494212962963,0.0,12.5,0.0,10.416666666666668,0,0.0
Administração Ceilândia - RA IX,2024,249,3.4705584490740744,3.614457831325301,17.670682730923694,21.686746987951807,8.433734939759036,6,0.024096385542168676
Administração Cruzeiro - RA XI,2024,42,2.233812830687831,0.0,35.714285714285715,0.0,0.0,0,0.0
Administração Fercal - RA XXXI,2024,38,8.209665915915917,2.631578947368421,5.263157894736842,2.631578947368421,2.631578947368421,0,0.0
Administração Gama - RA II,2024,92,8.820857558139535,6.521739130434782,41.30434782608695,13.043478260869565,0.0,3,0.03260869565217391
Administração Guará - RA X,2024,164,5.572282407407408,8.536585365853659,16.463414634146343,0.6097560975609756,7.317073170731707,6,0.036585365853658534
Administração Itapoã - RA XXVIII,2024,73,7.220205479452056,0.0,24.65753424657534,2.73972602739726,6.8493150684931505,0,0.0
Administração Jardim Botânico - RA XXVII,2024,91,3.787165032679739,6.593406593406594,46.15384615384615,2.197802197802198,0.0,4,0.04395604395604396
Administração Lago Norte - RA-XVIII,2024,80,3.4656114718614717,3.75,38.75,7.5,1.25,2,0.025
Administração Lago Sul - RA XVI,2024,56,2.8376958689458687,30.357142857142854,44.642857142857146,1.7857142857142856,16.071428571428573,2,0.03571428571428571
Administração Núcleo Bandeirante - RA VIII,2024,76,2.887429549114332,9.210526315789473,0.0,2.631578947368421,2.631578947368421,5,0.06578947368421052
Administração Paranoá - RA VII,2024,63,3.3645719489981785,3.1746031746031744,22.22222222222222,9.523809523809524,0.0,1,0.015873015873015872
Administração Park Way - RA XXIV,2024,63,7.323483560090703,22.22222222222222,46.03174603174603,4.761904761904762,19.047619047619047,6,0.09523809523809523
Administração Planaltina - RA VI,2024,97,6.4459616545893725,5.154639175257731,37.11340206185567,6.185567010309279,3.0927835051546393,4,0.041237113402061855
Administração Plano Piloto - RA I,2024,226,6.882838753387534,9.29203539823009,45.13274336283185,4.867256637168142,2.2123893805309733,9,0.03982300884955752
Administração Recanto das Emas - RA XV,2024,77,10.575374634502923,1.2987012987012987,12.987012987012985,11.688311688311687,6.493506493506493,0,0.0
Administração Regional de Água Quente - RA XXXV,2024,19,6.737704248366013,10.526315789473683,36.84210526315789,26.31578947368421,10.526315789473683,2,0.10526315789473684
Administração Riacho Fundo I - RA XVII,2024,82,5.67494131455399,13.414634146341465,0.0,0.0,1.2195121951219512,9,0.10975609756097561
Administração Riacho Fundo II - RA XXI,2024,60,2.728919491525424,1.6666666666666667,11.666666666666666,1.6666666666666667,1.6666666666666667,0,0.0
Administração S.C.I.A / Estrutural - RA XXV,2024,106,13.63173377028714,16.037735849056602,70.75471698113208,0.0,5.660377358490567,14,0.1320754716981132
Administração S.I.A - RA XXIX,2024,34,8.514359318996416,8.823529411764707,29.411764705882355,2.941176470588235,8.823529411764707,0,0.0
Administração Samambaia - RA XII,2024,184,5.062871732026144,7.608695652173914,44.565217391304344,2.1739130434782608,1.0869565217391304,12,0.06521739130434782
Administração Santa Maria - RA XIII,2024,93,9.665826023391812,59.13978494623656,100.0,0.0,0.0,1,0.010752688172043012
Administração Sobradinho - RA V,2024,91,4.121855493133583,2.197802197802198,20.87912087912088,9.89010989010989,2.197802197802198,0,0.0
Administração Sobradinho II - RA XXVI,2024,69,4.407843137254902,1.4492753623188406,34.78260869565217,1.4492753623188406,2.898550724637681,0,0.0
Administração Sol Nascente/Pôr do Sol - RA XXXII,2024,68,7.848280423280423,7.352941176470589,100.0,0.0,0.0,0,0.0
Administração Sudoeste / Octogonal - RA XXII,2024,53,7.733976964769648,22.641509433962266,50.943396226415096,3.7735849056603774,5.660377358490567,1,0.018867924528301886
Administração São Sebastião - RA XIV,2024,86,12.54998123123123,13.953488372093023,33.72093023255814,4.651162790697675,11.627906976744185,5,0.05813953488372093
