ano,regiao_administrativa,ano_referencia_pdad,populacao_total,populacao_masculina,populacao_feminina,populacao_0_14,populacao_15_59,populacao_60_mais,renda_media_ponderada,idade_media_ponderada,media_moradores_por_domicilio,percentual_baixa_escolaridade,percentual_domicilios_com_internet,percentual_domicilios_proprios,percentual_domicilios_alugados,lai_df_qtd_pedidos_ano,lai_df_qtd_recursos_ano,lai_df_qtd_satisfacoes_ano,lai_df_percentual_pedidos_com_recurso,lai_df_tempo_medio_resposta_dias,lai_df_percentual_acesso_concedido,lai_df_percentual_acesso_negado,lai_df_percentual_acesso_parcial,lai_df_percentual_sem_resposta,lai_df_qtd_orgaos_demandados
2025,Ceilândia,2024,356548.00000000006,168821.00000000003,187727.0,65164.000000000044,240551.0,50833.0,693.0657597083044,34.84899583638142,2.8517857142857137,34.524654724347116,94.10714285714286,51.78571428571428,40.357142857142854,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Cruzeiro,2024,30650.000000000004,14100.999999999998,16549.000000000004,3717.0000000000027,20816.0,6117.0,1867.6302828862028,39.51308177583085,2.388471177944863,17.420393431479294,96.99248120300754,52.88220551378448,30.325814536340857,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Cruzeiro,2024,30568.0,14068.0,16500.0,3643.000000000002,20591.0,6334.0,1867.6302828862028,39.51308177583085,2.388471177944863,17.420393431479294,96.99248120300754,52.88220551378448,30.325814536340857,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Cruzeiro,2024,30441.0,14020.0,16421.000000000004,3573.000000000002,20309.0,6559.0,1867.6302828862028,39.51308177583085,2.388471177944863,17.420393431479294,96.99248120300754,52.88220551378448,30.325814536340857,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Fercal,2024,9510.0,4816.0,4694.0,2452.0,6302.0,756.0,273.238726973888,30.70099149344146,2.9449999999999994,40.18062348649669,83.25,67.49999999999999,24.000000000000004,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Fercal,2024,9517.0,4816.0,4701.0,2431.0,6289.0,797.0,273.238726973888,30.70099149344146,2.9449999999999994,40.18062348649669,83.25,67.49999999999999,24.000000000000004,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Fercal,2024,9508.0,4806.0,4702.0,2412.0,6263.0,833.0,273.238726973888,30.70099149344146,2.9449999999999994,40.18062348649669,83.25,67.49999999999999,24.000000000000004,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Gama,2024,145723.0,70528.0,75195.0,23349.0,101410.0,20964.0,1051.4326138778713,36.08169472454621,2.8825000000000003,29.388668697933543,93.25,64.25000000000001,28.75,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Gama,2024,146319.0,70939.0,75380.0,23023.0,101384.0,21912.0,1051.4326138778713,36.08169472454621,2.8825000000000003,29.388668697933543,93.25,64.25000000000001,28.75,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Gama,2024,146705.0,71254.0,75451.0,22708.0,101118.0,22879.0,1051.4326138778713,36.08169472454621,2.8825000000000003,29.388668697933543,93.25,64.25000000000001,28.75,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Guará,2024,144079.0,66844.0,77235.0,24189.0,96553.0,23337.0,1648.2898156608946,38.092970467162004,2.476772616136919,19.45141358346839,95.11002444987774,62.34718826405868,34.96332518337408,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Guará,2024,145168.0,67405.0,77763.0,24523.000000000004,96373.0,24272.0,1648.2898156608946,38.092970467162004,2.476772616136919,19.45141358346839,95.11002444987774,62.34718826405868,34.96332518337408,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Guará,2024,146001.0,67851.0,78150.0,24862.999999999993,95923.0,25215.0,1648.2898156608946,38.092970467162004,2.476772616136919,19.45141358346839,95.11002444987774,62.34718826405868,34.96332518337408,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Itapoã,2024,83461.0,41431.0,42030.0,19360.0,58482.0,5619.0,384.36521914197584,29.551762115003328,2.7780548628428927,36.364632864419846,95.76059850374065,68.5785536159601,26.93266832917706,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Itapoã,2024,90667.0,44853.0,45814.0,20719.0,63445.0,6503.0,384.36521914197584,29.551762115003328,2.7780548628428927,36.364632864419846,95.76059850374065,68.5785536159601,26.93266832917706,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Itapoã,2024,97667.0,48182.0,49485.0,22084.0,68196.0,7387.0,384.36521914197584,29.551762115003328,2.7780548628428927,36.364632864419846,95.76059850374065,68.5785536159601,26.93266832917706,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Jardim Botânico,2024,61261.0,32986.0,28275.0,10343.0,43340.0,7578.0,1283.0508351169142,36.16255322258671,2.950124688279302,20.9141694634101,99.25187032418953,79.55112219451372,16.95760598503741,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
